titles,links,covers,ratings
Lords of Lockdown,/title/tt21311722/,"https://m.media-amazon.com/images/M/MV5BZjY2NWYwOWUtZGMwYy00MTFmLWJiMWMtZjY5ZjdlMDQxOTM1XkEyXkFqcGdeQXVyMjk5MjU1MDE@._V1_QL75_UX90_CR0,1,90,133_.jpg",6.8
Incognito,/title/tt24261004/,"https://m.media-amazon.com/images/M/MV5BNzhiYjRhYmEtMjA1My00YzAyLWFkMzgtMjg4ZmRiY2JhZmU3XkEyXkFqcGdeQXVyMjIzMTc0NDQ@._V1_QL75_UX90_CR0,0,90,133_.jpg",
Two Sisters and a Husband,/title/tt19796420/,"https://m.media-amazon.com/images/M/MV5BYTE0OTNlMTgtMzA0Zi00MjY3LTkxYTctZTc3NTkyMDdhYWI4XkEyXkFqcGdeQXVyMTIzMzg5NjMx._V1_QL75_UY133_CR73,0,90,133_.jpg",3.7
Digital Marketer,/title/tt15438884/,,2.2
Paka,/title/tt15125812/,"https://m.media-amazon.com/images/M/MV5BOWNkYWVlMTEtMjc4NC00MjE4LWIwYzQtMjIwYTQ3OGU1Y2ZhXkEyXkFqcGdeQXVyMTEyNzI3ODMz._V1_QL75_UY133_CR1,0,90,133_.jpg",6.4
AK vs AK,/title/tt11651796/,"https://m.media-amazon.com/images/M/MV5BNDJkOTVkYTMtMTk2OC00YTkyLThjMGYtMTdiYWRjYTQ1YTYzXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UX90_CR0,0,90,133_.jpg",6.9
Ghoomketu,/title/tt3734580/,"https://m.media-amazon.com/images/M/MV5BOWYwOThhMTQtZTRkYS00MDg0LTg3YTItYjg5MTU1YTU3NjgxXkEyXkFqcGdeQXVyMzQ5Njc3NzU@._V1_QL75_UY133_CR8,0,90,133_.jpg",4.9
Token,/title/tt10468634/,,
Kastoori,/title/tt11135910/,"https://m.media-amazon.com/images/M/MV5BY2U2MGE0NzItOTI1NS00MjQ0LWE0NDctNmY5YTNmYzhlYzk0XkEyXkFqcGdeQXVyNjkwODIwMTc@._V1_QL75_UX90_CR0,1,90,133_.jpg",7.9
Saand Ki Aankh,/title/tt8108206/,"https://m.media-amazon.com/images/M/MV5BNjg0OWVkMjEtODgxOC00YzZjLTk0ZDItMTUzNDg0NmU3NGQwXkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_QL75_UX90_CR0,1,90,133_.jpg",7.6
Moothon,/title/tt6409416/,"https://m.media-amazon.com/images/M/MV5BNjVmZmI2MDEtMjllNy00NDIwLWJiZGUtNjc3NmY3MTViZDMyXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_QL75_UY133_CR2,0,90,133_.jpg",7.4
Super 30,/title/tt7485048/,"https://m.media-amazon.com/images/M/MV5BM2JkYmU5NmQtZjc0Zi00ZDdlLWFlZTYtNTU1OWY5MTU1MDQwXkEyXkFqcGdeQXVyODg3NTQ1MTM@._V1_QL75_UY133_CR8,0,90,133_.jpg",7.9
Bebaak,/title/tt8991706/,"https://m.media-amazon.com/images/M/MV5BNzQ0MzU5ZDktMDIzOS00OGQwLTgxMDEtMzNlNjM3MmEzYWVlXkEyXkFqcGdeQXVyMjU4OTI3MjQ@._V1_QL75_UX90_CR0,1,90,133_.jpg",7.3
Zoo,/title/tt6149820/,"https://m.media-amazon.com/images/M/MV5BZTAwOGExZDctNjYyOC00N2Y2LThmNDgtNDc1OWQ3MjE5MjE5XkEyXkFqcGdeQXVyODAxMDU3OTc@._V1_QL75_UY133_CR2,0,90,133_.jpg",5.6
Bhavesh Joshi Superhero,/title/tt6129302/,"https://m.media-amazon.com/images/M/MV5BZGRhYjZjYzUtZDJhOS00MDU5LWI1ZTctOTIzZjAxN2NhMmMzXkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_QL75_UX90_CR0,1,90,133_.jpg",7.6
